,Date,0,1,2
101,2018-05-29,-6.4744697,-3.6527796,2.9696863
102,2018-05-30,-3.0536408,-4.3581614,3.217636
103,2018-05-31,-2.4114642,-4.7065015,3.2826567
104,2018-06-01,-14.57955,-2.192798,-1.5557933
105,2018-06-04,-15.038092,-2.0380244,-2.286158
106,2018-06-05,-14.826937,-1.8792785,-1.6705364
107,2018-06-06,-13.874347,-1.5608747,-0.0637545
108,2018-06-07,-12.739012,-1.660186,0.6650267
109,2018-06-08,-8.009066,-3.592778,2.7414858
110,2018-06-11,-7.5589533,-3.9381728,2.591605
111,2018-06-12,-8.246999,-3.5022116,2.6644976
112,2018-06-13,-6.8975663,-4.514976,2.3953955
113,2018-06-14,-6.2928166,-4.925831,2.3748322
114,2018-06-15,-2.0579476,-5.8100142,2.9102693
115,2018-06-18,-1.2974569,-6.293837,2.9170396
116,2018-06-19,1.2084827,-7.56696,2.6639783
117,2018-06-20,0.36986244,-7.251294,2.7142074
118,2018-06-21,0.1422986,-7.543601,2.6734757
119,2018-06-22,0.24171266,-7.8521304,2.613377
120,2018-06-25,1.3241332,-8.62289,2.562822
121,2018-06-26,-0.6412929,-8.393095,2.5507002
122,2018-06-27,-1.4171765,-8.612811,2.5332894
123,2018-06-28,-1.9607276,-8.564796,2.4546587
124,2018-06-29,-2.0236611,-8.685405,2.4333596
125,2018-07-02,-3.4893327,-8.633707,2.2131984
126,2018-07-03,-2.2272582,-9.029341,2.3777287
127,2018-07-05,-3.1827478,-9.011965,2.076433
128,2018-07-06,-10.11924,-10.393809,-0.9278157
129,2018-07-09,-14.665251,-3.153807,-2.4601126
130,2018-07-10,-14.328173,-3.6017332,-2.205279
131,2018-07-11,-9.4976425,-9.901421,-0.4536475
132,2018-07-12,-12.12493,-6.2411213,-1.3405827
133,2018-07-13,-12.124633,-5.760709,-0.82421756
134,2018-07-16,-11.062248,-5.977751,-0.23536085
135,2018-07-17,-9.759958,-6.822134,0.30240506
136,2018-07-18,-8.952863,-7.0701613,0.4591083
137,2018-07-19,-9.892084,-6.6585393,0.31483757
138,2018-07-20,-9.499316,-6.832467,0.4339736
139,2018-07-23,-9.209052,-7.2326164,0.75362074
140,2018-07-24,-12.6225395,-5.12334,-0.43359935
141,2018-07-25,-14.495314,-3.1923,-1.397196
142,2018-07-26,-14.537882,-3.1531472,-1.3548673
143,2018-07-27,-6.4049473,-6.3373985,1.1845766
144,2018-07-30,-1.882662,-7.523323,2.8936214
145,2018-07-31,-1.6145556,-7.429544,3.0045135
146,2018-08-01,-16.689165,2.8393962,3.5701878
147,2018-08-02,-16.503757,2.735592,3.7787087
148,2018-08-03,-16.188623,2.5778983,4.0067325
149,2018-08-06,-15.898778,2.4285085,4.1542573
150,2018-08-07,-15.33613,2.0563288,4.451363
151,2018-08-08,-14.564471,1.410461,4.9326086
152,2018-08-09,-14.619798,1.466326,4.8673925
153,2018-08-10,-13.987111,0.9730467,4.950593
154,2018-08-13,-13.90979,0.93979234,4.8511376
155,2018-08-14,-13.632082,0.77384317,4.742259
156,2018-08-15,-13.407354,0.6678688,4.6794114
157,2018-08-16,-13.71595,1.2439945,3.6330345
158,2018-08-17,-14.710005,2.4496448,1.8800015
159,2018-08-20,-14.723769,2.3039167,1.3088298
160,2018-08-21,-12.653693,1.07221,2.2503033
161,2018-08-22,-11.257934,0.14831126,2.7070014
162,2018-08-23,-11.1590805,0.12515008,2.682284
163,2018-08-24,-11.019151,0.07973698,2.6860678
164,2018-08-27,-11.601369,0.6760879,2.3783956
165,2018-08-28,-12.320998,1.2047269,1.8769103
166,2018-08-29,-13.309991,1.8193946,1.1463004
167,2018-08-30,-14.481987,2.2490952,0.66760635
168,2018-08-31,-14.335511,2.286826,0.7711449
169,2018-09-04,-13.450173,1.9726342,1.122953
170,2018-09-05,-12.068352,1.0707237,2.131638
171,2018-09-06,-7.8258524,-1.4356713,2.23063
172,2018-09-07,-6.003997,-2.6261108,2.5240006
173,2018-09-10,-2.9813452,-4.7060857,2.6949782
174,2018-09-11,-5.3995185,-3.1382482,2.487872
175,2018-09-12,-4.947845,-3.6036222,2.4315414
176,2018-09-13,-8.760086,-2.01074,2.0945225
177,2018-09-14,-6.0703144,-3.0295758,2.3528583
178,2018-09-17,-0.68975943,-5.7640524,2.79458
179,2018-09-18,-0.5335752,-5.9690375,2.7757828
180,2018-09-19,-0.21996428,-6.2414656,2.740343
181,2018-09-20,-2.0507002,-5.320797,2.6933382
182,2018-09-21,-1.0020657,-6.08435,2.7977927
183,2018-09-24,-2.0024948,-5.489933,2.6667078
184,2018-09-25,-5.0987883,-5.763543,1.7293802
185,2018-09-26,-4.8113246,-5.9946485,1.7926195
186,2018-09-27,-11.048279,-3.7563512,-0.8166926
187,2018-09-28,-11.02789,-3.8854773,-0.7547572
188,2018-10-01,-12.169752,-3.6942804,-1.0045816
189,2018-10-02,-12.280061,-3.788555,-0.95264876
190,2018-10-03,-13.373292,-1.8565807,-0.93491393
191,2018-10-04,-10.628417,-3.816799,0.63418543
192,2018-10-05,-5.0319486,-6.0270033,1.6605837
193,2018-10-08,-4.2355013,-6.357363,1.95117
194,2018-10-09,-5.3637094,-5.8201513,1.5173298
195,2018-10-10,0.1058951,-8.379794,2.184037
196,2018-10-11,1.9510734,-9.164015,2.000761
197,2018-10-12,-1.6079074,-8.260523,1.5814103
198,2018-10-15,0.022792509,-9.031975,1.9325734
199,2018-10-16,-1.8940072,-8.455674,1.4804595
200,2018-10-17,-2.1682286,-8.640345,1.4425529
201,2018-10-18,1.0500695,-10.001667,1.4854467
202,2018-10-19,-1.6138753,-9.33582,1.2611953
203,2018-10-22,-2.6865478,-9.173425,1.1159258
204,2018-10-23,-2.5305932,-9.475849,0.8344031
205,2018-10-24,0.6643656,-10.192344,1.313262
206,2018-10-25,-2.3772767,-9.905682,0.51789844
207,2018-10-26,1.432476,-10.688941,1.034381
208,2018-10-29,3.158615,-12.121407,-0.4904824
209,2018-10-30,2.8012407,-12.057354,-0.46099716
210,2018-10-31,-2.6953592,-10.387875,0.164112
211,2018-11-01,-7.90856,-10.43212,-1.0498592
212,2018-11-02,3.6062496,-13.315863,-0.6380578
213,2018-11-05,4.310376,-14.664169,-0.86646724
214,2018-11-06,3.698613,-14.438884,-0.54148614
