,0,1,2,3,4,5,6
0,43.057499,43.2575,43.75,43.587502,43.5825,43.572498,43.82
1,43.2575,43.75,43.587502,43.5825,43.572498,43.82,44.272499
2,43.75,43.587502,43.5825,43.572498,43.82,44.272499,44.047501
3,43.587502,43.5825,43.572498,43.82,44.272499,44.047501,44.775002
4,43.5825,43.572498,43.82,44.272499,44.047501,44.775002,44.814999
5,43.572498,43.82,44.272499,44.047501,44.775002,44.814999,44.615002
6,43.82,44.272499,44.047501,44.775002,44.814999,44.615002,44.25
7,44.272499,44.047501,44.775002,44.814999,44.615002,44.25,44.259998
8,44.047501,44.775002,44.814999,44.615002,44.25,44.259998,43.555
9,44.775002,44.814999,44.615002,44.25,44.259998,43.555,42.7775
10,44.814999,44.615002,44.25,44.259998,43.555,42.7775,42.877499
11,44.615002,44.25,44.259998,43.555,42.7775,42.877499,41.990002
12,44.25,44.259998,43.555,42.7775,42.877499,41.990002,41.7425
13,44.259998,43.555,42.7775,42.877499,41.990002,41.7425,41.857498
14,43.555,42.7775,42.877499,41.990002,41.7425,41.857498,41.945
15,42.7775,42.877499,41.990002,41.7425,41.857498,41.945,40.125
16,42.877499,41.990002,41.7425,41.857498,41.945,40.125,39.122501
17,41.990002,41.7425,41.857498,41.945,40.125,39.122501,40.7575
18,41.7425,41.857498,41.945,40.125,39.122501,40.7575,39.884998
19,41.857498,41.945,40.125,39.122501,40.7575,39.884998,38.787498
20,41.945,40.125,39.122501,40.7575,39.884998,38.787498,39.102501
21,40.125,39.122501,40.7575,39.884998,38.787498,39.102501,40.677502
22,39.122501,40.7575,39.884998,38.787498,39.102501,40.677502,41.084999
23,40.7575,39.884998,38.787498,39.102501,40.677502,41.084999,41.842499
24,39.884998,38.787498,39.102501,40.677502,41.084999,41.842499,43.247501
25,38.787498,39.102501,40.677502,41.084999,41.842499,43.247501,43.107498
26,39.102501,40.677502,41.084999,41.842499,43.247501,43.107498,42.962502
27,40.677502,41.084999,41.842499,43.247501,43.107498,42.962502,42.767502
28,41.084999,41.842499,43.247501,43.107498,42.962502,42.767502,43.125
29,41.842499,43.247501,43.107498,42.962502,42.767502,43.125,43.875
30,43.247501,43.107498,42.962502,42.767502,43.125,43.875,44.7425
31,43.107498,42.962502,42.767502,43.125,43.875,44.7425,44.5975
32,42.962502,42.767502,43.125,43.875,44.7425,44.5975,44.529999
33,42.767502,43.125,43.875,44.7425,44.5975,44.529999,43.75
34,43.125,43.875,44.7425,44.5975,44.529999,43.75,44.052502
35,43.875,44.7425,44.5975,44.529999,43.75,44.052502,44.205002
36,44.7425,44.5975,44.529999,43.75,44.052502,44.205002,44.1675
37,44.5975,44.529999,43.75,44.052502,44.205002,44.1675,43.7575
38,44.529999,43.75,44.052502,44.205002,44.1675,43.7575,44.235001
39,43.75,44.052502,44.205002,44.1675,43.7575,44.235001,44.994999
40,44.052502,44.205002,44.1675,43.7575,44.235001,44.994999,45.43
41,44.205002,44.1675,43.7575,44.235001,44.994999,45.43,44.9925
42,44.1675,43.7575,44.235001,44.994999,45.43,44.9925,44.610001
43,43.7575,44.235001,44.994999,45.43,44.9925,44.610001,44.662498
