,Date,0,1,2
102,2018-05-30,-11.278508,4.454636,-0.40081653
103,2018-05-31,-11.016692,4.823603,-0.24561685
104,2018-06-01,-12.504129,2.4282856,-1.3610148
105,2018-06-04,-12.05747,-1.5364556,-2.9078646
106,2018-06-05,-12.470232,1.5210733,-1.5124927
107,2018-06-06,-11.768537,-4.254042,-2.8821197
108,2018-06-07,-11.781153,-4.7784967,-2.6756594
109,2018-06-08,-11.922442,-5.1282086,-2.085195
110,2018-06-11,-11.703902,-6.384313,-2.3054242
111,2018-06-12,-11.251427,-8.40157,-2.520229
112,2018-06-13,-11.255918,-8.358266,-2.439003
113,2018-06-14,-11.160757,-8.562101,-2.4684017
114,2018-06-15,-11.115435,-8.611878,-2.4141495
115,2018-06-18,-11.016438,-8.737744,-2.3987188
116,2018-06-19,-11.093106,-8.382284,-0.39784923
117,2018-06-20,-10.954659,-8.434487,-0.31418994
118,2018-06-21,-11.119956,-7.950365,0.77151704
119,2018-06-22,-7.3571215,-2.5920467,5.2696695
120,2018-06-25,-6.3730826,-1.2622199,5.470207
121,2018-06-26,-6.408458,-1.671045,5.5956435
122,2018-06-27,-6.967242,-2.5252852,5.4709682
123,2018-06-28,-7.456061,-3.4008172,4.8543067
124,2018-06-29,-6.4391084,-2.0755575,5.9159093
125,2018-07-02,-5.822985,-1.465636,6.2679753
126,2018-07-03,-2.6610124,6.580978,5.371444
127,2018-07-05,-2.7408707,7.3141336,4.9951687
128,2018-07-06,-3.0005383,6.929064,4.877708
129,2018-07-09,-4.7660775,4.1342287,4.6299396
130,2018-07-10,-5.7059,2.6086335,4.5449286
131,2018-07-11,-5.464254,3.2012835,4.426633
132,2018-07-12,-5.533629,3.273564,4.3617883
133,2018-07-13,-5.523145,3.3286092,4.294104
134,2018-07-16,-5.244434,4.4733515,4.0354304
135,2018-07-17,-6.2225184,2.6348903,4.235033
136,2018-07-18,-6.7539716,2.2094338,4.2091823
137,2018-07-19,-6.599937,2.4705784,4.178217
138,2018-07-20,-6.1856613,3.0006351,4.1307006
139,2018-07-23,-2.8536155,8.033078,4.4815316
140,2018-07-24,-3.1898468,8.077938,3.8589914
141,2018-07-25,-5.014325,5.405276,3.124621
142,2018-07-26,-5.3453326,4.7361116,3.06154
143,2018-07-27,-4.189806,6.895079,2.710091
144,2018-07-30,-3.3398585,9.008906,3.19303
145,2018-07-31,-4.7395387,7.3661823,2.1183343
146,2018-08-01,-5.7151895,5.8140135,1.7145934
147,2018-08-02,-7.4859915,-5.33037,-1.1394597
148,2018-08-03,-7.6957054,-5.730494,-0.81826764
149,2018-08-06,-8.0565195,-5.109624,0.44149268
150,2018-08-07,-7.7571692,-9.118334,-0.811211
151,2018-08-08,-8.03055,-9.614028,-0.30694586
152,2018-08-09,-7.9694095,-4.764483,2.8093028
153,2018-08-10,-7.996609,-4.502853,2.9568105
154,2018-08-13,-7.9816265,-4.5203414,3.0195994
155,2018-08-14,-7.6642575,-3.7952776,3.169915
156,2018-08-15,-7.8084326,-0.06449305,4.4315667
157,2018-08-16,-7.6809053,0.17011298,4.526179
158,2018-08-17,-4.0644865,6.346783,2.8416984
159,2018-08-20,-3.3224432,8.576103,3.052712
160,2018-08-21,-4.474311,5.110992,3.5117152
161,2018-08-22,-4.776745,4.564645,3.4518082
162,2018-08-23,-5.0795374,4.110249,3.4750032
163,2018-08-24,-5.2512617,3.9078314,3.4572556
164,2018-08-27,-5.1629,4.570133,3.066769
165,2018-08-28,-5.2010508,4.9257245,2.7103422
166,2018-08-29,-4.5540323,6.893717,2.0600133
167,2018-08-30,-4.3390036,7.6888366,1.9371859
168,2018-08-31,-4.357094,7.662411,1.9193206
169,2018-09-04,-3.5735052,10.478991,1.7605375
170,2018-09-05,-3.4641235,12.404345,0.8255882
171,2018-09-06,-3.9072263,11.472969,0.9875198
172,2018-09-07,-3.2076068,14.856735,-0.08125353
173,2018-09-10,-6.0519977,10.563702,-0.76053387
174,2018-09-11,-6.214839,10.681025,-0.82992476
175,2018-09-12,-8.196107,7.7299824,-1.1987035
176,2018-09-13,-8.459749,7.139533,-1.3230581
177,2018-09-14,-8.697166,5.655449,-1.4083109
178,2018-09-17,-8.802283,5.10487,-1.5197948
179,2018-09-18,-8.791606,6.92147,-1.6289879
180,2018-09-19,-10.292482,4.421423,-3.054013
181,2018-09-20,-10.075077,1.6742358,-2.9224617
182,2018-09-21,-10.138872,1.6991925,-2.9976013
183,2018-09-24,-10.160952,1.7000928,-2.911779
184,2018-09-25,-10.167015,1.5673121,-2.8286304
185,2018-09-26,-10.732946,-0.13306262,-2.1478696
186,2018-09-27,-10.743344,-0.2899479,-2.1539445
187,2018-09-28,-3.30682,13.773263,1.3084732
188,2018-10-01,-10.655642,0.50341976,-1.9052296
189,2018-10-02,-9.83019,1.6932569,-1.4109018
190,2018-10-03,-9.327673,4.977564,-0.6287995
191,2018-10-04,-8.074738,9.408071,2.2691002
192,2018-10-05,-3.5974123,13.607142,1.0362545
193,2018-10-08,-3.8180163,14.211417,0.1911614
194,2018-10-09,-5.7303247,12.88498,-0.6418559
195,2018-10-10,-5.8235297,13.230646,-0.9483367
196,2018-10-11,-6.0858393,13.3636265,-1.1282922
197,2018-10-12,-7.0442286,12.348186,-1.3003652
198,2018-10-15,-7.5375504,11.857747,-1.4381769
199,2018-10-16,-9.448411,8.412773,-1.4488374
200,2018-10-17,-9.742425,8.112592,-1.5130937
201,2018-10-18,-8.533817,10.027825,-1.539309
202,2018-10-19,-8.039178,11.037813,-1.5417044
203,2018-10-22,-7.7597785,11.382462,-1.4801962
204,2018-10-23,-11.874746,0.41473287,-3.704023
205,2018-10-24,-11.965773,-0.84306735,-3.3513489
206,2018-10-25,-11.897137,-2.9859507,-2.8136492
207,2018-10-26,-11.77932,-4.3486934,-2.3866858
208,2018-10-29,-11.686487,-5.1676292,-2.0838861
209,2018-10-30,-11.911297,-5.146653,-0.93733984
210,2018-10-31,-11.83153,-5.733519,-0.63580954
211,2018-11-01,-11.69787,-6.35758,-0.38575107
212,2018-11-02,-11.622944,-6.6727824,-0.22184277
213,2018-11-05,-11.802079,-6.294444,0.04850398
214,2018-11-06,-11.691549,-6.532773,0.10414236
215,2018-11-07,-11.550113,-6.8200483,0.10355681
216,2018-11-08,-11.329206,-7.163751,0.09552695
217,2018-11-09,-11.331124,-6.9238014,0.25911483
218,2018-11-12,-7.8181243,-2.8563688,4.973881
219,2018-11-13,-7.7272396,-2.834181,4.984514
220,2018-11-14,-8.1098795,-3.3822825,4.517697
221,2018-11-15,-8.412464,-3.7667613,4.154798
222,2018-11-16,-9.360629,-5.739135,0.502828
223,2018-11-19,-7.9369345,-6.3717937,-0.4655276
224,2018-11-20,-6.7095103,-2.1268327,5.5906167
225,2018-11-21,-6.103505,-1.62646,6.1101785
226,2018-11-23,-2.6306975,5.6562734,5.7378945
227,2018-11-26,-5.7484946,-1.3789455,5.7476425
228,2018-11-27,-6.407995,-1.6309196,5.8223095
229,2018-11-28,-7.636476,-2.578893,4.247607
